,RMSE,R2
2HRW-USG-A1,27.166932229143345,-4.8468403885906115
2SRW-USG-A1,20.689102345827326,-3.877567437424381
JCI-WHT-SHHAI,13.40868127892547,-1.8992461399303475
JCI-WHT-GZHOU,4.849315741139444,0.6260944169391138
BRSB-APW1-CY1,8.48105655672914,0.003399670289080059
ALBN-AGP1-CY1,15.752597874556274,-1.079380564741415
ALBN-ASW1-CY1,15.93414161958312,-0.644491432255355
ALBN-AUH2-CY1,16.809629362407946,-0.2558171873900159
W-FOBROUEN-P1,7.976069604427836,0.041346967530585865
W-RENLPL-P1,8.768731629471837,-0.11616867647768281
W-FOBBLTNC-E14,4.344350020008599,0.8285199400585352
W-NGP-308,8.629860019847836,-1.8660951030301276
KTS-W11UABS-FOB,7.596514454001232,0.32742260102216114
KTS-W12UABS-FOB,9.002702444015203,0.05043598996748566
KTS-W11RUBS-FOB,10.848511160692937,-0.38274648385280896
KTS-W12RUBS-FOB,8.81901419575151,0.093196657062241
